WATERBODY_CODE,Waterbody_LID,LOCNAME,TWS_code,neglondec,latdec,SA,LO
47518350,17-2884-53030,Little Wawa Lake,02BD,-83.82833333,47.84722222,514.2,3
47528040,17-5247-53013,Sisseney Lake,02JD,-80.66972222,47.86638889,-9999,4
47528105,17-4935-53022,Dumbell Lake,04LA,-81.08611111,47.87472222,173.2,-9999
47528235,17-3804-53044,Hanson Lake,04LC,-82.59694444,47.87805556,138.79,-9999
47538112,17-4850-53031,Halliday Lake,04LA,-81.20333333,47.87666667,-9999,-9999
47548045,17-5196-53085,Mistinikon Lake,02JD,-80.73666667,47.93138889,1357.1,6
47548125,17-4697-53049,Nursey Lake,04LA,-81.40555556,47.89861111,-9999,-9999
47548158,17-4271-53064,Katagi Lake,04LA,-81.96916667,47.90861111,247.6,-9999
47548241,17-3730-53082,Little Ridley Lake,04LC,-82.69444444,47.90416667,32.39,-9999
47558330,17-3120-53099,Como Lake,02BD,-83.51583333,47.91638889,1595.9,4
47587943,17-5962-53128,St. Anthony Lake,02JC,-79.71111111,47.96527778,488.9,4
48008220,17-4010-53144,Horwood Lake,04LC,-82.32611111,47.97694444,5545.8,-9999
48008307,17-3426-53189,Nemegosenda Lake,04LE,-83.11,48.00611111,1803.2,-9999
48018002,17-5717-53183,Round Lake,02JC,-80.03777778,48.01611111,1213,5
48018443,16-6699-53200,Wawa Lake,02BD,-84.72166667,48.01277778,677.4,3
48028136,17-4553-53202,Indian Lake,04LA,-81.6,48.03555556,50.2,-9999
48037933,17-6079-53230,Raven Lake,02JC,-79.55027778,48.05194444,616.7,5
48057938,17-6010-53265,Larder Lake,02JC,-79.64222222,48.08527778,3703.7,5
48058118,17-4773-53267,Muskasenda Lake,04LA,-81.30666667,48.09027778,632,-9999
48068235,17-3788-53266,Ivanhoe Lake,04LC,-82.5175,48.17111111,1013.8,-9999
48069119,15-6253-53286,Sheridan Lake,05PA,-91.32222222,48.10416667,-9999,-9999
48079032,15-6844-53328,North Lake,05PA,-90.525,48.12222222,1091.2,-9999
48098242,17-3736-53361,Carty Lake,04LC,-82.70055556,48.16527778,631.5,-9999
48099016,15-7025-53379,Arrow Lake,02AA,-90.265,48.16416667,3314.4,5
48099112,15-6332-53357,This Man Lake,05PA,-91.20888889,48.1625,-9999,-9999
48099119,15-6250-53348,Louisa Lake,05PA,-91.31944444,48.15638889,-9999,-9999
48117953,17-5829-53372,Victoria Lake,02JC,-79.88222222,48.18888889,-9999,4
48119109,15-6375-53394,Other Man Lake,05PA,-91.15055556,48.195,-9999,-9999
48128045,17-5180-53389,Radisson Lake,04MD,-80.75527778,48.2125,543.5,-9999
48129135,15-6052-53411,Sarah Lake,05PA,-91.58611111,48.20222222,-9999,-9999
