Waterbody_LID,Lake_Name,Cycle,AreaCalcm2,Perim__m2,Strahler,Shreve,MinElev,MaxElev,MeanElev,SDElev,GDD8110,TertiaryWS,QuaternWS
17-4157-51611,Klondyke L.s,1,1995303.66,20173.33,3,22,381.2393494,393.5661316,385.3551282,1.541350797,1701.886434,02CE,2CE-06
17-4175-51987,Mozhabong L.,1,18657652.18,126570.47,5,82,409.3267822,428.7362061,411.667758,1.429891959,1657.479784,02CE,2CE-02
17-4235-50696,"Manitou, L.",1,105942193.8,112609.13,4,24,220.1970215,243.2338104,226.0562138,1.982270658,1760.668735,02CG,2CG-09
17-4271-53064,Katagi L.,1,2533469.67,28475.91,3,20,391.4399719,396.0253296,392.9616507,0.758125105,1514.694417,04LA,4LA-10
17-4302-51759,Rushbrook L.,1,1737067.46,13277.96,2,3,423.9745178,434.0325623,426.5190872,1.308031777,1687.572083,02CE,2CE-07
17-4313-51958,Dennie L.,1,847522.23,9559.74,2,2,411.1479187,421.0684814,414.6750841,1.732577725,1665.35,02CE,2CE-02
17-4329-51689,S L.,1,449749.05,6175.76,3,8,410.0133972,412.6350403,410.6787071,0.367201291,1696.29,02CE,2CE-02
17-4339-53837,Fortune L.,1,1115741.16,4935.29,0,0,314.0072937,316.4112244,315.074444,0.321956189,1445.82959,04LC,4LC-02
17-4340-52773,Mesomikenda L.,1,17004923.99,127091.74,5,245,359.3999023,374.2002563,362.8224821,1.467235073,1553.352729,04LA,4LA-10
17-4352-52392,Ninth L.,1,843428.54,6290.99,5,152,374.3872986,387.2354431,376.1808714,2.068596565,1603.582886,02CE,2CE-02
17-4364-52017,Pogamasing L.,1,15690208.34,89163.66,5,102,370.1397095,386.0012207,373.8969901,1.615400399,1663.238656,02CE,2CE-02
17-4372-52874,Makami L.,1,1791894.36,27960.1,5,259,354.1519165,361.6762085,356.2438216,1.009362444,1546.14856,04LA,4LA-09
17-4414-51336,Agnew L.,1,29425424.3,196966.35,7,"3,315",256.4668884,277.23349,260.9077524,1.47066495,1713.018161,02CE,2CE-02
17-4485-51124,Lang L.,1,3939042.27,34673.47,6,275,212.2061005,223.8925629,215.8945414,1.79797132,1713.95992,02CH,2CH-05
17-4529-52150,Lower Muldrew L.,1,793576.99,15061.49,5,104,410.0894775,423.5693665,412.4772976,2.327858273,1644.04,02CF,2CF-16
17-4549-51263,Wabagishik L.,1,5900754.62,25211.71,7,"2,578",202.6771698,215.4345703,206.7333875,1.592894322,1712.43512,02CF,2CF-07
17-4553-53202,Indian L.,1,536745.32,4671.1,2,4,347.4447632,351.0945435,348.6476182,0.624474709,1513.278442,04LA,4LA-04
17-4561-50068,Cameron L.,1,1589709.59,7573.8,2,4,190.5719604,190.5719604,187.7175173,0.286408506,1767.089783,02FA,2FA-05
17-4572-54649,Legault's L.,1,251852.64,3688.23,1,1,239.7994537,244.9690094,241.9486381,0.956081311,1409.63,04LB,4LB-01
17-4583-50085,Cyprus L.,1,742511.62,5044.15,2,4,188.6284943,188.6284943,186.4835341,0.449821263,1764.94,02FA,2FA-05
